rally_idx,shot_idx,t_s,player,predicted,confidence,truth
32,11,247.68,player_1,dink,0.34,
32,12,247.95,player_1,volley,0.34,
32,13,248.21,player_1,volley,0.4,
32,14,251.15,player_1,unknown,0.16,
32,15,251.61,player_1,unknown,0.17,
33,0,251.75,player_1,serve,0.71,
33,1,252.21,player_1,return,0.28,
33,2,252.68,player_1,lob,0.34,
33,3,253.08,player_1,unknown,0.14,
33,4,253.35,player_1,unknown,0.17,
33,5,253.61,player_1,unknown,0.17,
33,6,254.01,player_1,unknown,0.15,
33,7,254.55,player_1,unknown,0.17,
33,8,256.68,player_1,volley,0.4,
34,0,257.91,player_1,serve,0.71,
34,1,262.18,player_3,return,0.71,
35,0,268.05,player_1,serve,0.71,
35,1,270.18,player_1,return,0.4,
36,0,274.25,player_3,serve,0.71,
36,1,274.52,player_1,return,0.74,
36,2,276.32,player_1,unknown,0.15,
36,3,276.58,player_1,unknown,0.17,
36,4,276.85,player_24,volley,0.71,
36,5,278.98,player_1,drop,0.71,
36,6,279.25,player_1,unknown,0.2,
36,7,280.08,player_1,unknown,0.2,
37,0,280.08,player_1,serve,0.71,
37,1,281.48,player_1,return,0.34,
37,2,281.75,player_1,unknown,0.2,
38,0,282.78,player_1,serve,0.57,
38,1,283.32,,return,0.32,
38,2,283.65,player_1,unknown,0.31,
39,0,285.25,player_1,serve,0.67,
39,1,291.45,,return,0.38,
40,0,299.35,,serve,0.33,
40,1,300.28,,return,0.33,
40,2,300.95,,unknown,0.17,
40,3,301.25,player_25,volley,0.67,
41,0,301.25,player_25,serve,0.57,
41,1,302.72,,return,0.4,
41,2,304.52,,unknown,0.13,
41,3,304.85,player_25,volley,0.57,
41,4,305.12,,unknown,0.13,
41,5,306.45,,unknown,0.17,
41,6,306.85,,unknown,0.2,
41,7,309.12,,unknown,0.19,
41,8,310.52,,unknown,0.2,
41,9,311.18,,unknown,0.19,
42,0,315.72,,serve,0.25,
42,1,316.58,player_26,return,0.83,
42,2,317.45,player_3,third_shot_drop,0.71,
42,3,318.25,player_27,volley,0.67,
42,4,319.79,,unknown,0.19,
43,0,323.82,,serve,0.34,
43,1,324.09,,return,0.3,
43,2,324.35,,unknown,0.18,
44,0,327.45,,serve,0.33,
44,1,328.92,player_27,return,0.53,
44,2,329.19,,unknown,0.16,
44,3,330.05,,unknown,0.2,
45,0,330.05,,serve,0.4,
46,0,335.02,player_27,serve,0.71,
46,1,336.02,player_27,return,0.34,
46,2,336.49,,lob,0.41,
47,0,338.95,,serve,0.4,
47,1,339.55,player_3,return,0.57,
47,2,340.42,,unknown,0.14,
47,3,340.75,player_3,unknown,0.28,
47,4,341.09,,unknown,0.18,
47,5,341.49,player_27,lob,0.67,
47,6,342.82,,unknown,0.19,
47,7,343.75,,unknown,0.17,
47,8,344.09,,unknown,0.2,
49,0,360.99,,serve,0.35,
